"Table C3: Drug-related deaths by selected drugs reported1 and council area, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Council area 3,All drug-related deaths,Heroin / morphine 2,Methadone,"Heroin / morphine, Methadone or Bupren-orphine",Codeine or a codeine-containing compound,Dihydro-codeine or a d.h.c-containing compound,Any opiate or opioid,Benzodiazepines,,,,,Gabapentin and/or Pregabalin,Cocaine,Ecstasy-type,Amphet-amines,Alcohol,,,,,,,,,,
Fife,81,38,40,61,11,6,71,54,22,20,47,40,42,15,4,9,9,,,,,,,,,,
Glasgow City,279,148,136,225,4,23,245,218,6,3,217,214,72,74,1,7,24,,,,,,,,,,
Highland,11,4,3,7,1,1,10,1,1,1,1,0,0,0,0,0,2,,,,,,,,,,
Inverclyde,33,13,16,26,0,3,29,24,2,1,24,23,12,11,0,1,5,,,,,,,,,,
Midlothian,18,7,8,14,2,0,16,13,2,2,12,10,10,5,0,1,1,,,,,,,,,,
Moray,12,7,3,7,0,3,9,4,4,4,2,1,4,4,1,1,1,,,,,,,,,,
Na h-Eileanan Siar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
North Ayrshire,41,22,21,37,0,4,39,31,0,0,31,30,15,10,0,1,1,,,,,,,,,,
North Lanarkshire,95,48,36,71,3,6,78,62,4,1,61,59,26,27,2,0,8,,,,,,,,,,
Orkney Islands,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,
Perth & Kinross,25,17,11,22,2,2,24,19,7,7,17,15,8,8,0,0,7,,,,,,,,,,
Renfrewshire,45,21,20,37,1,5,41,38,2,1,38,38,13,16,4,1,3,,,,,,,,,,
Scottish Borders,16,4,3,7,0,3,10,10,5,5,8,7,6,1,2,2,3,,,,,,,,,,
Shetland Islands,2,1,1,2,0,0,2,1,0,0,1,1,0,0,0,0,0,,,,,,,,,,
South Ayrshire,26,16,8,17,0,2,22,16,2,0,15,12,10,5,0,0,2,,,,,,,,,,
South Lanarkshire,68,35,28,51,5,2,59,44,3,2,43,42,15,21,4,2,5,,,,,,,,,,
Stirling,19,13,9,16,3,0,17,17,3,3,16,16,6,5,0,1,1,,,,,,,,,,
West Dunbartonshire,32,8,11,17,0,3,21,19,1,0,19,18,10,3,1,2,4,,,,,,,,,,
West Lothian,23,11,7,14,0,5,17,15,6,6,12,10,10,9,2,3,2,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1) More than one drug may be reported per death. These are mentions of each drug, and should not be added to give total deaths. Up to 2007, some pathologists reported only those drugs which they thought caused, or contributed to, the death. With effect from 2008, pathologists report separately (a) drugs which were implicated in, or which potentially contributed to, the cause of death and (b) other drugs which were present but which were not considered to have had any direct contribution to the death.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The figures in this table are on the first basis - i.e. basis (a) which has been the normal basis for the figures for individual drugs with effect from ""Drug-related Deaths in Scotland in 2009""",,,,,,,,,,,,,,,,,,,,,,,,,,,
There may be other differences between years and/or areas in the way in which the information was produced - more information can be found in Section 2 of the commentary.,,,,,,,,,,,,,,,,,,,,,,,,,,,
2) More information can be found in paragraph 3.3.1 of the commentary.,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3) With effect from the ""... in 2016"" edition of this publication, the alphabetical order of the councils changed due to the adoption of the preferred forms of reference for the Edinburgh and Western Isles areas. Previous versions of this table used the forms 'Edinburgh, City of' and 'Eilean Siar'.       
       
       
",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
© Crown Copyright 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
