"Table C3: Drug-related deaths by selected drugs reported1 and council area, 2017",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Council area 3,All drug-related deaths,Heroin / morphine 2,Methadone,"Heroin / morphine, Methadone or Bupren-orphine",Codeine or a codeine-containing compound,Dihydro-codeine or a d.h.c-containing compound,Any opiate or opioid,Benzodiazepines,,Cocaine,Ecstasy-type,Amphet-amines,Alcohol,,,,,,,,,,
Inverclyde,23         ,9         ,13         ,16         ,1         ,1         ,19         ,13         ,1         ,4         ,1         ,1         ,3         ,,,,,,,,,,
Midlothian,19         ,6         ,8         ,12         ,0         ,6         ,15         ,9         ,6         ,5         ,1         ,2         ,0         ,,,,,,,,,,
Moray,7         ,3         ,4         ,5         ,0         ,1         ,6         ,6         ,5         ,1         ,0         ,0         ,3         ,,,,,,,,,,
Na h-Eileanan Siar,3         ,0         ,0         ,0         ,0         ,0         ,0         ,1         ,1         ,0         ,0         ,0         ,1         ,,,,,,,,,,
North Ayrshire,25         ,15         ,15         ,19         ,1         ,3         ,22         ,14         ,3         ,4         ,0         ,2         ,2         ,,,,,,,,,,
North Lanarkshire,53         ,26         ,12         ,31         ,3         ,5         ,44         ,18         ,5         ,16         ,3         ,1         ,4         ,,,,,,,,,,
Orkney Islands,1         ,1         ,0         ,1         ,0         ,0         ,1         ,1         ,1         ,1         ,1         ,0         ,0         ,,,,,,,,,,
Perth & Kinross,19         ,11         ,6         ,13         ,0         ,2         ,14         ,10         ,8         ,2         ,0         ,0         ,2         ,,,,,,,,,,
Renfrewshire,38         ,18         ,19         ,30         ,0         ,3         ,33         ,29         ,4         ,12         ,1         ,3         ,5         ,,,,,,,,,,
Scottish Borders,13         ,9         ,6         ,10         ,0         ,3         ,11         ,7         ,5         ,3         ,0         ,0         ,1         ,,,,,,,,,,
Shetland Islands,2         ,1         ,1         ,2         ,0         ,0         ,2         ,1         ,1         ,0         ,0         ,0         ,1         ,,,,,,,,,,
South Ayrshire,12         ,4         ,5         ,9         ,0         ,0         ,9         ,6         ,0         ,3         ,0         ,1         ,2         ,,,,,,,,,,
South Lanarkshire,49         ,23         ,19         ,35         ,1         ,6         ,43         ,33         ,0         ,5         ,1         ,1         ,3         ,,,,,,,,,,
Stirling,15         ,8         ,8         ,12         ,0         ,6         ,15         ,10         ,6         ,2         ,0         ,0         ,0         ,,,,,,,,,,
West Dunbartonshire,15         ,12         ,6         ,14         ,0         ,0         ,14         ,12         ,3         ,3         ,1         ,1         ,1         ,,,,,,,,,,
West Lothian,22         ,10         ,4         ,14         ,1         ,1         ,17         ,7         ,4         ,5         ,0         ,2         ,2         ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Footnotes,,,,,,,,,,,,,,,,,,,,,,,
"1) More than one drug may be reported per death. These are mentions of each drug, and should not be added to give total deaths. Up to 2007, some pathologists reported only those drugs which they thought caused, or contributed to, the death. With effect from 2008, pathologists report separately (a) drugs which were implicated in, or which potentially contributed to, the cause of death and (b) other drugs which were present but which were not considered to have had any direct contribution to the death.",,,,,,,,,,,,,,,,,,,,,,,
"The figures in this table are on the first basis - i.e. basis (a) which has been the normal basis for the figures for individual drugs with effect from ""Drug-related Deaths in Scotland in 2009""",,,,,,,,,,,,,,,,,,,,,,,
There may be other differences between years and/or areas in the way in which the information was produced - more information can be found in Section 2 of the commentary.,,,,,,,,,,,,,,,,,,,,,,,
2) More information can be found in paragraph 3.3.1 of the commentary.,,,,,,,,,,,,,,,,,,,,,,,
"3) With effect from the ""... in 2016"" edition of this publication, the alphabetical order of the councils changed due to the adoption of the preferred forms of reference for the Edinburgh and Western Isles areas. Previous versions of this table used the forms 'Edinburgh, City of' and 'Eilean Siar'.       
       
       
",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
© Crown Copyright 2018,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
