"Table C3: Drug-related deaths by selected drugs reported1 and council area, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Council area 3,All drug-related deaths,Heroin / morphine 2,Methadone,"Heroin / morphine, Methadone or Bupren-orphine",Codeine or a codeine-containing compound,Dihydro-codeine or a d.h.c-containing compound,Any opiate or opioid,Benzodiazepines,,,,,Gabapentin and/or Pregabalin,Cocaine,Ecstasy-type,Amphet-amines,Alcohol,,,,,,,,,,
Fife,64,29,32,48,5,6,53,39,30,30,23,11,33,16,3,9,8,,,,,,,,,,
Glasgow City,280,133,133,220,13,25,250,194,10,8,191,185,62,57,4,5,31,,,,,,,,,,
Highland,36,8,17,25,0,6,31,26,22,16,11,2,11,10,1,3,4,,,,,,,,,,
Inverclyde,24,8,13,17,2,4,21,19,3,1,17,13,8,7,0,1,3,,,,,,,,,,
Midlothian,14,5,8,10,0,3,12,9,4,4,7,5,7,3,0,0,1,,,,,,,,,,
Moray,17,6,8,12,1,2,15,10,8,7,6,2,6,1,1,2,1,,,,,,,,,,
Na h-Eileanan Siar,2,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,,,,,,,,,,
North Ayrshire,38,15,29,33,0,1,33,28,0,0,28,26,14,3,1,2,5,,,,,,,,,,
North Lanarkshire,72,35,27,49,1,12,58,50,3,2,49,48,17,20,1,1,13,,,,,,,,,,
Orkney Islands,3,1,0,1,0,2,2,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,
Perth & Kinross,30,12,9,20,1,4,25,16,9,9,8,5,10,7,1,0,4,,,,,,,,,,
Renfrewshire,50,21,27,43,0,5,46,34,3,1,34,34,13,8,0,3,6,,,,,,,,,,
Scottish Borders,22,10,9,16,0,5,20,15,8,8,8,4,10,6,2,2,5,,,,,,,,,,
Shetland Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
South Ayrshire,15,12,12,14,1,3,14,12,0,0,12,11,3,1,0,1,1,,,,,,,,,,
South Lanarkshire,58,24,25,36,6,7,46,37,3,3,37,32,14,8,3,4,12,,,,,,,,,,
Stirling,19,12,8,14,2,1,18,14,5,5,12,10,4,6,0,0,5,,,,,,,,,,
West Dunbartonshire,20,11,5,15,1,0,16,12,1,1,12,11,6,7,0,0,4,,,,,,,,,,
West Lothian,25,9,8,18,1,2,22,16,9,9,12,6,10,9,1,0,4,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1) More than one drug may be reported per death. These are mentions of each drug, and should not be added to give total deaths. Up to 2007, some pathologists reported only those drugs which they thought caused, or contributed to, the death. With effect from 2008, pathologists report separately (a) drugs which were implicated in, or which potentially contributed to, the cause of death and (b) other drugs which were present but which were not considered to have had any direct contribution to the death.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The figures in this table are on the first basis - i.e. basis (a) which has been the normal basis for the figures for individual drugs with effect from ""Drug-related Deaths in Scotland in 2009""",,,,,,,,,,,,,,,,,,,,,,,,,,,
There may be other differences between years and/or areas in the way in which the information was produced - more information can be found in Section 2 of the commentary.,,,,,,,,,,,,,,,,,,,,,,,,,,,
2) More information can be found in paragraph 3.3.1 of the commentary.,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3) With effect from the ""... in 2016"" edition of this publication, the alphabetical order of the councils changed due to the adoption of the preferred forms of reference for the Edinburgh and Western Isles areas. Previous versions of this table used the forms 'Edinburgh, City of' and 'Eilean Siar'.       
       
       
",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
© Crown Copyright 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
