"indicator","area_name","area_code","area_type","year","period","numerator","measure","lower_confidence_interval","upper_confidence_interval","definition","data_source"
"Smoking attributable deaths","Inverclyde","S12000018","Council area",2013,"2012 to 2013 calendar years; 2-year aggregates",193.9,442.32,379.37,512.37,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Midlothian","S12000019","Council area",2013,"2012 to 2013 calendar years; 2-year aggregates",173.75,400.86,340.87,468.01,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Moray","S12000020","Council area",2013,"2012 to 2013 calendar years; 2-year aggregates",170.04,320.6,272.79,374.18,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","North Ayrshire","S12000021","Council area",2013,"2012 to 2013 calendar years; 2-year aggregates",322.15,411.7,365.65,461.71,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Orkney Islands","S12000023","Council area",2013,"2012 to 2013 calendar years; 2-year aggregates",32.49,254.93,172.49,362.1,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Scottish Borders","S12000026","Council area",2013,"2012 to 2013 calendar years; 2-year aggregates",211.42,295.66,255.5,340.13,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Shetland Islands","S12000027","Council area",2013,"2012 to 2013 calendar years; 2-year aggregates",33.34,291.63,194.4,417.58,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","South Ayrshire","S12000028","Council area",2013,"2012 to 2013 calendar years; 2-year aggregates",232.83,315.23,274.86,359.72,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","South Lanarkshire","S12000029","Council area",2013,"2012 to 2013 calendar years; 2-year aggregates",635.99,392.59,360.85,426.24,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Stirling","S12000030","Council area",2013,"2012 to 2013 calendar years; 2-year aggregates",145.47,316.77,264.9,375.44,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Aberdeen City","S12000033","Council area",2013,"2012 to 2013 calendar years; 2-year aggregates",375.1,369.17,331.2,410.17,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Aberdeenshire","S12000034","Council area",2013,"2012 to 2013 calendar years; 2-year aggregates",372.37,285.71,256.49,317.26,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Argyll & Bute","S12000035","Council area",2013,"2012 to 2013 calendar years; 2-year aggregates",182.52,318.12,271.56,370.09,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","City of Edinburgh","S12000036","Council area",2013,"2012 to 2013 calendar years; 2-year aggregates",721.22,330.85,306.27,356.82,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Renfrewshire","S12000038","Council area",2013,"2012 to 2013 calendar years; 2-year aggregates",360.49,401.41,359.29,446.96,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","West Dunbartonshire","S12000039","Council area",2013,"2012 to 2013 calendar years; 2-year aggregates",222.17,488.15,422.91,560.23,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","West Lothian","S12000040","Council area",2013,"2012 to 2013 calendar years; 2-year aggregates",283.19,367.72,323.54,415.98,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Angus","S12000041","Council area",2013,"2012 to 2013 calendar years; 2-year aggregates",203.61,290.13,250.43,334.18,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Dundee City","S12000042","Council area",2013,"2012 to 2013 calendar years; 2-year aggregates",315.21,420.33,373.84,470.88,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","East Dunbartonshire","S12000045","Council area",2013,"2012 to 2013 calendar years; 2-year aggregates",128.47,199.97,165.92,238.79,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Fife","S12000047","Council area",2013,"2012 to 2013 calendar years; 2-year aggregates",729.31,373.26,345.57,402.51,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Perth & Kinross","S12000048","Council area",2013,"2012 to 2013 calendar years; 2-year aggregates",244.68,273.09,238.75,310.85,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Glasgow City","S12000049","Council area",2013,"2012 to 2013 calendar years; 2-year aggregates",1464.15,579.62,548.87,611.57,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","North Lanarkshire","S12000050","Council area",2013,"2012 to 2013 calendar years; 2-year aggregates",720.05,460.13,424.84,497.43,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Scotland","S00000001","Scotland",2014,"2013 to 2014 calendar years; 2-year aggregates",10058.32,359.33,352.08,366.69,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Ayrshire & Arran","S08000015","Health board",2014,"2013 to 2014 calendar years; 2-year aggregates",880,394.57,368.13,422.35,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Borders","S08000016","Health board",2014,"2013 to 2014 calendar years; 2-year aggregates",203.56,280.57,241.69,323.7,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Dumfries & Galloway","S08000017","Health board",2014,"2013 to 2014 calendar years; 2-year aggregates",341.54,335.73,300.15,374.28,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Forth Valley","S08000019","Health board",2014,"2013 to 2014 calendar years; 2-year aggregates",535.15,345.77,315.75,377.78,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Grampian","S08000020","Health board",2014,"2013 to 2014 calendar years; 2-year aggregates",917.21,317.51,296.61,339.45,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Highland","S08000022","Health board",2014,"2013 to 2014 calendar years; 2-year aggregates",563.3,290.17,265.82,316.09,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Lothian","S08000024","Health board",2014,"2013 to 2014 calendar years; 2-year aggregates",1308.95,328.87,310.65,347.85,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Orkney","S08000025","Health board",2014,"2013 to 2014 calendar years; 2-year aggregates",33.52,264.07,179.91,373.04,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Shetland","S08000026","Health board",2014,"2013 to 2014 calendar years; 2-year aggregates",31.76,255.84,169.92,367.86,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Western Isles","S08000028","Health board",2014,"2013 to 2014 calendar years; 2-year aggregates",64.29,359.14,274.16,461.49,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Fife","S08000029","Health board",2014,"2013 to 2014 calendar years; 2-year aggregates",696.5,347.07,320.85,374.81,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Tayside","S08000030","Health board",2014,"2013 to 2014 calendar years; 2-year aggregates",776.81,324.41,301.31,348.77,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Greater Glasgow & Clyde","S08000031","Health board",2014,"2013 to 2014 calendar years; 2-year aggregates",2432.12,440.29,422.26,458.88,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Lanarkshire","S08000032","Health board",2014,"2013 to 2014 calendar years; 2-year aggregates",1273.99,392.51,369.94,416.03,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Clackmannanshire","S12000005","Council area",2014,"2013 to 2014 calendar years; 2-year aggregates",96.7,362.29,289.81,446.61,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Dumfries & Galloway","S12000006","Council area",2014,"2013 to 2014 calendar years; 2-year aggregates",341.54,335.73,300.15,374.28,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","East Ayrshire","S12000008","Council area",2014,"2013 to 2014 calendar years; 2-year aggregates",295.03,432.48,382.96,486.47,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","East Lothian","S12000010","Council area",2014,"2013 to 2014 calendar years; 2-year aggregates",166.69,297.96,253.1,348.29,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","East Renfrewshire","S12000011","Council area",2014,"2013 to 2014 calendar years; 2-year aggregates",128.53,251.81,208.68,300.99,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Na h-Eileanan Siar","S12000013","Council area",2014,"2013 to 2014 calendar years; 2-year aggregates",64.29,359.14,274.16,461.49,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Falkirk","S12000014","Council area",2014,"2013 to 2014 calendar years; 2-year aggregates",282.66,351.19,309.72,396.48,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Highland","S12000017","Council area",2014,"2013 to 2014 calendar years; 2-year aggregates",400.25,294.95,265.71,326.43,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Inverclyde","S12000018","Council area",2014,"2013 to 2014 calendar years; 2-year aggregates",196.01,433.04,372.25,500.63,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Midlothian","S12000019","Council area",2014,"2013 to 2014 calendar years; 2-year aggregates",169.88,384.94,326.68,450.22,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Moray","S12000020","Council area",2014,"2013 to 2014 calendar years; 2-year aggregates",165.06,303.8,257.92,355.3,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","North Ayrshire","S12000021","Council area",2014,"2013 to 2014 calendar years; 2-year aggregates",343.62,430.98,384.81,481,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Orkney Islands","S12000023","Council area",2014,"2013 to 2014 calendar years; 2-year aggregates",33.52,264.07,179.91,373.04,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Scottish Borders","S12000026","Council area",2014,"2013 to 2014 calendar years; 2-year aggregates",203.56,280.57,241.69,323.7,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Shetland Islands","S12000027","Council area",2014,"2013 to 2014 calendar years; 2-year aggregates",31.76,255.84,169.92,367.86,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","South Ayrshire","S12000028","Council area",2014,"2013 to 2014 calendar years; 2-year aggregates",240.23,320.86,280.63,365.13,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","South Lanarkshire","S12000029","Council area",2014,"2013 to 2014 calendar years; 2-year aggregates",579.73,349.08,319.58,380.44,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Stirling","S12000030","Council area",2014,"2013 to 2014 calendar years; 2-year aggregates",154.46,324.73,273.05,382.98,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Aberdeen City","S12000033","Council area",2014,"2013 to 2014 calendar years; 2-year aggregates",377.54,369.32,331.45,410.19,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Aberdeenshire","S12000034","Council area",2014,"2013 to 2014 calendar years; 2-year aggregates",374.62,284.84,255.84,316.14,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Argyll & Bute","S12000035","Council area",2014,"2013 to 2014 calendar years; 2-year aggregates",161.58,275.58,233.1,323.34,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","City of Edinburgh","S12000036","Council area",2014,"2013 to 2014 calendar years; 2-year aggregates",696.87,316.76,292.86,342.04,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Renfrewshire","S12000038","Council area",2014,"2013 to 2014 calendar years; 2-year aggregates",346.03,376.55,336.48,419.95,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","West Dunbartonshire","S12000039","Council area",2014,"2013 to 2014 calendar years; 2-year aggregates",205.98,451.58,389.17,520.79,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","West Lothian","S12000040","Council area",2014,"2013 to 2014 calendar years; 2-year aggregates",272.97,348.96,306.06,395.88,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Angus","S12000041","Council area",2014,"2013 to 2014 calendar years; 2-year aggregates",209.29,290.29,251.07,333.75,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Dundee City","S12000042","Council area",2014,"2013 to 2014 calendar years; 2-year aggregates",316.03,420.08,373.72,470.49,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","East Dunbartonshire","S12000045","Council area",2014,"2013 to 2014 calendar years; 2-year aggregates",146.78,224.1,188.32,264.55,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Fife","S12000047","Council area",2014,"2013 to 2014 calendar years; 2-year aggregates",696.5,347.07,320.85,374.81,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Perth & Kinross","S12000048","Council area",2014,"2013 to 2014 calendar years; 2-year aggregates",253.42,275.76,241.76,313.09,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Glasgow City","S12000049","Council area",2014,"2013 to 2014 calendar years; 2-year aggregates",1417.86,563.04,532.65,594.65,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","North Lanarkshire","S12000050","Council area",2014,"2013 to 2014 calendar years; 2-year aggregates",695.23,439.12,404.99,475.22,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Scotland","S00000001","Scotland",2015,"2014 to 2015 calendar years; 2-year aggregates",10007.39,351.91,344.81,359.12,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Ayrshire & Arran","S08000015","Health board",2015,"2014 to 2015 calendar years; 2-year aggregates",865.8,385.7,359.67,413.07,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Borders","S08000016","Health board",2015,"2014 to 2015 calendar years; 2-year aggregates",204.09,276.58,238.32,319.02,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Dumfries & Galloway","S08000017","Health board",2015,"2014 to 2015 calendar years; 2-year aggregates",363.97,355.04,318.48,394.56,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Forth Valley","S08000019","Health board",2015,"2014 to 2015 calendar years; 2-year aggregates",528.24,337.8,308.29,369.28,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Grampian","S08000020","Health board",2015,"2014 to 2015 calendar years; 2-year aggregates",937.22,321.14,300.27,343.04,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Highland","S08000022","Health board",2015,"2014 to 2015 calendar years; 2-year aggregates",577.53,292.59,268.37,318.34,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Lothian","S08000024","Health board",2015,"2014 to 2015 calendar years; 2-year aggregates",1261.46,311.14,293.63,329.39,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Orkney","S08000025","Health board",2015,"2014 to 2015 calendar years; 2-year aggregates",31.34,232.85,157.11,331.77,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Shetland","S08000026","Health board",2015,"2014 to 2015 calendar years; 2-year aggregates",36.03,284.3,196.39,397.05,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Western Isles","S08000028","Health board",2015,"2014 to 2015 calendar years; 2-year aggregates",67,371.05,284.72,474.61,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Fife","S08000029","Health board",2015,"2014 to 2015 calendar years; 2-year aggregates",716.96,348.04,322.22,375.32,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Tayside","S08000030","Health board",2015,"2014 to 2015 calendar years; 2-year aggregates",809.14,330.02,307.04,354.23,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Greater Glasgow & Clyde","S08000031","Health board",2015,"2014 to 2015 calendar years; 2-year aggregates",2356.56,420.58,403.1,438.6,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","NHS Lanarkshire","S08000032","Health board",2015,"2014 to 2015 calendar years; 2-year aggregates",1253.72,379.14,357.3,401.9,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Clackmannanshire","S12000005","Council area",2015,"2014 to 2015 calendar years; 2-year aggregates",96.34,356.67,285.59,439.38,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Dumfries & Galloway","S12000006","Council area",2015,"2014 to 2015 calendar years; 2-year aggregates",363.97,355.04,318.48,394.56,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","East Ayrshire","S12000008","Council area",2015,"2014 to 2015 calendar years; 2-year aggregates",283.85,416.12,367.33,469.4,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","East Lothian","S12000010","Council area",2015,"2014 to 2015 calendar years; 2-year aggregates",166.38,290.27,246.5,339.39,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","East Renfrewshire","S12000011","Council area",2015,"2014 to 2015 calendar years; 2-year aggregates",126.9,244.76,202.66,292.8,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Na h-Eileanan Siar","S12000013","Council area",2015,"2014 to 2015 calendar years; 2-year aggregates",66.59,369.17,283.04,472.56,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Falkirk","S12000014","Council area",2015,"2014 to 2015 calendar years; 2-year aggregates",274.15,340.25,299.36,384.98,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Highland","S12000017","Council area",2015,"2014 to 2015 calendar years; 2-year aggregates",402.98,291.74,262.97,322.72,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Inverclyde","S12000018","Council area",2015,"2014 to 2015 calendar years; 2-year aggregates",190.48,408.67,350.68,473.25,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Midlothian","S12000019","Council area",2015,"2014 to 2015 calendar years; 2-year aggregates",174.58,388.87,330.54,454.15,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Moray","S12000020","Council area",2015,"2014 to 2015 calendar years; 2-year aggregates",167.85,303.42,258.09,354.25,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","North Ayrshire","S12000021","Council area",2015,"2014 to 2015 calendar years; 2-year aggregates",344.33,427.09,381.53,476.44,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Orkney Islands","S12000023","Council area",2015,"2014 to 2015 calendar years; 2-year aggregates",31.34,232.85,157.11,331.77,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Scottish Borders","S12000026","Council area",2015,"2014 to 2015 calendar years; 2-year aggregates",204.09,276.58,238.32,319.02,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Shetland Islands","S12000027","Council area",2015,"2014 to 2015 calendar years; 2-year aggregates",36.03,284.3,196.39,397.05,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","South Ayrshire","S12000028","Council area",2015,"2014 to 2015 calendar years; 2-year aggregates",236.61,313.13,273.63,356.63,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","South Lanarkshire","S12000029","Council area",2015,"2014 to 2015 calendar years; 2-year aggregates",564.96,332.25,303.99,362.33,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Stirling","S12000030","Council area",2015,"2014 to 2015 calendar years; 2-year aggregates",154.14,315.73,265.57,372.27,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Aberdeen City","S12000033","Council area",2015,"2014 to 2015 calendar years; 2-year aggregates",372.64,363.86,326.37,404.34,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
"Smoking attributable deaths","Aberdeenshire","S12000034","Council area",2015,"2014 to 2015 calendar years; 2-year aggregates",395.19,296.13,266.82,327.7,"Age-sex standardised rate per 100,000","NRS / Public Health Scotland / SHoS"
